"Configure","Configure"
"Close","Close"
"Pay with Paymentsense","Pay with Paymentsense"
"COLLECTION transaction failed. ","COLLECTION transaction failed. "
"REFUND transaction failed. ","REFUND transaction failed. "
"VOID transaction failed. ","VOID transaction failed. "
"Unavailable (Payment method not configured)","Unavailable (Payment method not configured)"
"Unavailable (SSL/TLS not configured)","Unavailable (SSL/TLS not configured)"
"Enabled","Enabled"
"Display Currency","Display Currency"
"Base Currency","Base Currency"
"Sale","Sale"
"Pre-Auth","Pre-Auth"
"All Allowed Currencies","All Allowed Currencies"
"Specific Currencies","Specific Currencies"
"Payment failed with message '%s'. Please check your card details and try again.","Payment failed with message '%s'. Please check your card details and try again."
"Payment failed with message '%s'.","Payment failed with message '%s'."
"Payment status is unknown. Please contact customer support quoting your order #%s and do not retry the payment for this order unless you are instructed to do so.","Payment status is unknown. Please contact customer support quoting your order #%s and do not retry the payment for this order unless you are instructed to do so."
